Year,Electorate,Party,PVI
1996,Auckland Central,ACT,0.051237614
1996,Auckland Central,Alliance/Progressive,0.017490434
1996,Auckland Central,Conservative,-0.026207498
1996,Auckland Central,Labour,0.074062974
1996,Auckland Central,National,-0.072656394
1996,Auckland Central,NZ First,-0.064740747
1996,Auckland Central,Other,0.023582367
1996,Auckland Central,United,-0.00276875
1996,Banks Peninsula,ACT,-0.001385465
1996,Banks Peninsula,Alliance/Progressive,0.045449409
1996,Banks Peninsula,Conservative,-0.002217576
1996,Banks Peninsula,Labour,0.003370662
1996,Banks Peninsula,National,0.021345478
1996,Banks Peninsula,NZ First,-0.059262305
1996,Banks Peninsula,Other,-0.007129133
1996,Banks Peninsula,United,-0.00017107
1996,Botany,ACT,0.042216114
1996,Botany,Alliance/Progressive,-0.056725766
1996,Botany,Conservative,-0.003213318
1996,Botany,Labour,-0.106189968
1996,Botany,National,0.180565399
1996,Botany,NZ First,-0.045556307
1996,Botany,Other,-0.008126224
1996,Botany,United,-0.00296993
1996,Christchurch Central,ACT,-0.01629138
1996,Christchurch Central,Alliance/Progressive,0.06501237
1996,Christchurch Central,Conservative,-0.001326251
1996,Christchurch Central,Labour,0.025504979
1996,Christchurch Central,National,-0.020709386
1996,Christchurch Central,NZ First,-0.057477756
1996,Christchurch Central,Other,0.006059973
1996,Christchurch Central,United,-0.000772549
1996,Christchurch East,ACT,-0.027870297
1996,Christchurch East,Alliance/Progressive,0.065895275
1996,Christchurch East,Conservative,0.000995222
1996,Christchurch East,Labour,0.078763444
1996,Christchurch East,National,-0.070156144
1996,Christchurch East,NZ First,-0.045438817
1996,Christchurch East,Other,0.002080216
1996,Christchurch East,United,-0.0042689
1996,Coromandel,ACT,-0.015678096
1996,Coromandel,Alliance/Progressive,0.033365224
1996,Coromandel,Conservative,0.007085653
1996,Coromandel,Labour,-0.055795007
1996,Coromandel,National,-0.028213724
1996,Coromandel,NZ First,0.063832754
1996,Coromandel,Other,-0.003526684
1996,Coromandel,United,-0.00107012
1996,Dunedin,ACT,-0.018169327
1996,Dunedin,Alliance/Progressive,0.039992685
1996,Dunedin,Conservative,-0.008805758
1996,Dunedin,Labour,0.112866854
1996,Dunedin,National,-0.085057634
1996,Dunedin,NZ First,-0.063440617
1996,Dunedin,Other,0.009880996
1996,Dunedin,United,0.0127328
1996,East Cape,ACT,-0.014473587
1996,East Cape,Alliance/Progressive,-0.004121377
1996,East Cape,Conservative,0.004090742
1996,East Cape,Labour,-0.02887251
1996,East Cape,National,-0.002682837
1996,East Cape,NZ First,0.053852432
1996,East Cape,Other,-0.003523514
1996,East Cape,United,-0.00426935
1996,East Coast Bays,ACT,0.054737964
1996,East Coast Bays,Alliance/Progressive,-0.037115026
1996,East Coast Bays,Conservative,0.001195242
1996,East Coast Bays,Labour,-0.081452578
1996,East Coast Bays,National,0.101160988
1996,East Coast Bays,NZ First,-0.033037577
1996,East Coast Bays,Other,-0.002770083
1996,East Coast Bays,United,-0.00056853
1996,Epsom,ACT,0.156882882
1996,Epsom,Alliance/Progressive,-0.053930715
1996,Epsom,Conservative,-0.014815057
1996,Epsom,Labour,-0.083411982
1996,Epsom,National,0.066536439
1996,Epsom,NZ First,-0.077458666
1996,Epsom,Other,0.002868868
1996,Epsom,United,0.00332823
1996,Glendene,ACT,-0.016369146
1996,Glendene,Alliance/Progressive,-0.000811396
1996,Glendene,Conservative,0.012296353
1996,Glendene,Labour,0.071162684
1996,Glendene,National,-0.043753504
1996,Glendene,NZ First,-0.021636437
1996,Glendene,Other,0.004080416
1996,Glendene,United,-0.00496897
1996,Hamilton East,ACT,0.000338636
1996,Hamilton East,Alliance/Progressive,-0.012203693
1996,Hamilton East,Conservative,0.008501204
1996,Hamilton East,Labour,-0.012818919
1996,Hamilton East,National,0.043693319
1996,Hamilton East,NZ First,-0.024125804
1996,Hamilton East,Other,-0.002722873
1996,Hamilton East,United,-0.00046769
1996,Hamilton West,ACT,-0.010878576
1996,Hamilton West,Alliance/Progressive,-0.019629476
1996,Hamilton West,Conservative,0.008585503
1996,Hamilton West,Labour,-0.010599527
1996,Hamilton West,National,0.040379417
1996,Hamilton West,NZ First,0.001538983
1996,Hamilton West,Other,-0.006026434
1996,Hamilton West,United,-0.00336989
1996,Hauraki-Waikato,ACT,-0.051473587
1996,Hauraki-Waikato,Alliance/Progressive,-0.020521377
1996,Hauraki-Waikato,Conservative,-0.025409258
1996,Hauraki-Waikato,Labour,-0.02567251
1996,Hauraki-Waikato,National,-0.276382837
1996,Hauraki-Waikato,NZ First,0.350752432
1996,Hauraki-Waikato,Other,0.056176486
1996,Hauraki-Waikato,United,-0.00746935
1996,Henderson,ACT,-0.009673587
1996,Henderson,Alliance/Progressive,-0.018221377
1996,Henderson,Conservative,0.013290742
1996,Henderson,Labour,0.03922749
1996,Henderson,National,-0.009682837
1996,Henderson,NZ First,-0.015547568
1996,Henderson,Other,0.005776486
1996,Henderson,United,-0.00516935
1996,Hutt South,ACT,-0.004267936
1996,Hutt South,Alliance/Progressive,-0.001311446
1996,Hutt South,Conservative,0.002695393
1996,Hutt South,Labour,0.029758543
1996,Hutt South,National,0.029553827
1996,Hutt South,NZ First,-0.057239997
1996,Hutt South,Other,-0.008120804
1996,Hutt South,United,0.00893242
1996,Ikaroa-Rāwhiti,ACT,-0.048073587
1996,Ikaroa-Rāwhiti,Alliance/Progressive,-0.015121377
1996,Ikaroa-Rāwhiti,Conservative,-0.024809258
1996,Ikaroa-Rāwhiti,Labour,0.06882749
1996,Ikaroa-Rāwhiti,National,-0.284482837
1996,Ikaroa-Rāwhiti,NZ First,0.245252432
1996,Ikaroa-Rāwhiti,Other,0.066176486
1996,Ikaroa-Rāwhiti,United,-0.00776935
1996,Ilam,ACT,0.019226413
1996,Ilam,Alliance/Progressive,-0.015321377
1996,Ilam,Conservative,-0.001409258
1996,Ilam,Labour,-0.04177251
1996,Ilam,National,0.100117163
1996,Ilam,NZ First,-0.055147568
1996,Ilam,Other,-0.015423514
1996,Ilam,United,0.00973065
1996,Invercargill,ACT,-0.023377327
1996,Invercargill,Alliance/Progressive,-0.011630276
1996,Invercargill,Conservative,0.007985563
1996,Invercargill,Labour,0.008498563
1996,Invercargill,National,0.033480107
1996,Invercargill,NZ First,-0.005160347
1996,Invercargill,Other,-0.005826454
1996,Invercargill,United,-0.00396983
1996,Kaikōura,ACT,-0.002673587
1996,Kaikōura,Alliance/Progressive,0.033078623
